71	ResearchedMinigun2                 	000000000000000001000000000000000000000000000000
72	ResearchedMinigun3                 	000000000000000000800000000000000000000000000000
73	ResearchedFighter1                 	000000000000000000400000000000000000000000000000
75	ResearchedCapital1                 	000000000000000000100000000000000000000000000000
79	HasCanBuildStarbase1               	000000000000000000010000000000000000000000000000
80	ResearchedMiner2                   	000000000000000000008000000000000000000000000000
81	ResearchedMiner3                   	000000000000000000004000000000000000000000000000
82	ResearchedHealingWeapon3           	000000000000000000002000000000000000000000000000
84	ResearchedBuilder3                 	000000000000000000000800000000000000000000000000
86	ResearchedBuilder2                 	000000000000000000000200000000000000000000000000
87	ResearchedDefender2                	000000000000000000000100000000000000000000000000
88	ResearchedDefender1                	000000000000000000000080000000000000000000000000
89	ResearchedMissileMedium1           	000000000000000000000040000000000000000000000000
91	ResearchedMine2                    	000000000000000000000010000000000000000000000000
92	AtStarbase2                        	000000000000000000000008000000000000000000000000
93	ResearchedCapChaff1                	000000000000000000000004000000000000000000000000
94	ResearchedCapital2                 	000000000000000000000002000000000000000000000000
96	ResearchedChaff2                   	000000000000000000000000800000000000000000000000
100	ResearchedMissileDumb2             	000000000000000000000000080000000000000000000000
101	ResearchedMissileDumb3             	000000000000000000000000040000000000000000000000
102	ResearchedMissileTracking1         	000000000000000000000000020000000000000000000000
103	ResearchedMissileTracking2         	000000000000000000000000010000000000000000000000
106	ResearchedMissileCapAntiBase2      	000000000000000000000000002000000000000000000000
107	ResearchedMissileCapAntiBase1      	000000000000000000000000001000000000000000000000
108	ResearchedProbe1                   	000000000000000000000000000800000000000000000000
109	ResearchedProbe2                   	000000000000000000000000000400000000000000000000
110	ResearchedRepairWeapon1            	000000000000000000000000000200000000000000000000
113	ResearchedMachineGun2              	000000000000000000000000000040000000000000000000
114	ResearchedMachineGun3              	000000000000000000000000000020000000000000000000
116	ResearchedAPC2                     	000000000000000000000000000008000000000000000000
117	ResearchedRepairWeapon2            	000000000000000000000000000004000000000000000000
248	ResearchedCarbonMine               	
119	ResearchedResearch2                	000000000000000000000000000001000000000000000000
127	ResearchedSupport1                 	000000000000000000000000000000010000000000000000
128	ResearchedSmShield2                	000000000000000000000000000000008000000000000000
129	ResearchedLgShield2                	000000000000000000000000000000004000000000000000
130	ResearchedSmShield3                	000000000000000000000000000000002000000000000000
131	ResearchedMdShield2                	000000000000000000000000000000001000000000000000
132	ResearchedMdShield3                	000000000000000000000000000000000800000000000000
133	ResearchedMissileBomberAntiBase1   	000000000000000000000000000000000400000000000000
134	ResearchedShipyard1                	000000000000000000000000000000000200000000000000
137	ResearchedOrdnance1                	000000000000000000000000000000000040000000000000
138	ResearchedChaff3                   	000000000000000000000000000000000020000000000000
139	ResearchedMissileAntiFighter1      	000000000000000000000000000000000010000000000000
140	ResearchedSpeed2                   	000000000000000000000000000000000008000000000000
141	ResearchedShipyard2                	000000000000000000000000000000000004000000000000
146	IsNotCivBelters                    	000000000000000000000000000000000000200000000000
147	ResearchedStealth1                 	000000000000000000000000000000000000100000000000
150	ResearchedMissileCapAntiRock1      	000000000000000000000000000000000000020000000000
151	ResearchedBoardingShip2            	000000000000000000000000000000000000010000000000
156	ResearchedMissileCapAntiFighter2   	000000000000000000000000000000000000000800000000
157	ResearchedPlatform1                	000000000000000000000000000000000000000400000000
161	ResearchedDisruptor3               	000000000000000000000000000000000000000040000000
163	ResearchedFighter2                 	000000000000000000000000000000000000000010000000
164	ResearchedDisruptor2               	000000000000000000000000000000000000000008000000
165	ResearchedSupport3                 	000000000000000000000000000000000000000004000000
166	ResearchedFighter3                 	000000000000000000000000000000000000000002000000
167	ResearchedResearch1                	000000000000000000000000000000000000000001000000
168	IsNotCivCrimsonWing                	000000000000000000000000000000000000000000800000
169	IsNotCivIronLeague                 	000000000000000000000000000000000000000000400000
170	IsNotCivRix                        	000000000000000000000000000000000000000000200000
172	ResearchedCapChaff3                	000000000000000000000000000000000000000000080000
173	ResearchedCapChaff2                	000000000000000000000000000000000000000000040000
174	HasOrd2Res2                        	000000000000000000000000000000000000000000020000
175	HasOrd1Res1                        	000000000000000000000000000000000000000000010000
177	ResearchedMissileMedium2           	000000000000000000000000000000000000000000004000
178	ResearchedElectronics2             	000000000000000000000000000000000000000000002000
179	ResearchedOrdnance2                	000000000000000000000000000000000000000000001000
180	ResearchedInterceptor2             	000000000000000000000000000000000000000000000800
181	ResearchedMissileBomberAntiBase2   	000000000000000000000000000000000000000000000400
182	ResearchedStealth2                 	000000000000000000000000000000000000000000000200
183	ResearchedStarbase2                	000000000000000000000000000000000000000000000100
185	HasShipyard2                       	000000000000000000000000000000000000000000000040
187	IsNotCivBios                       	000000000000000000000000000000000000000000000010
188	IsCivBios                          	000000000000000000000000000000000000000000000008
189	WinTheGame                         	000000000000000000000000000000000000000000000004
190	ResearchedSupport2                 	000000000000000000000000000000000000000000000002
191	TestOnly                           	000000000000000000000000000000000000000000000001
97	IsCivBelters                       	111100000000000000000000000000000000000000000001
232	ResearchedArtillery1               	111200000000000000000000000000000000000000000001
242	ResearchedCapSupport1              	111300000000000000000000000000000000000000000001
194	ResearchedBooster2                 	
195	ResearchedDietBooster2             	
196	ResearchedDietBooster1             	
197	ResearchedBooster3                 	
198	ResearchedMissileSkeet2            	
200	ResearchedMissileTracking3         	
201	ResearchedTeleportProbe1           	
202	ResearchedMissileEMP               	
203	ResearchedLgShield3                	
5	Arena                              	
6	NotArena                           	
206	ResearchedMiniGun1                 	
207	ResearchedMachineGun1              	
208	ResearchedAntiUtility1             	
209	ResearchedDisruptor1               	
28	ResearchedMine3                    	
210	ResearchedMinePack1                	
211	ResearchedMinePack2                	
212	ResearchedProbe3                   	
213	ResearchedPulseProbe               	
214	ResearchedMissileAntiRock1         	
215	ResearchedMissileKiller1           	
216	HasLevel1                          	
217	HasLevel2                          	
218	ResearchedMissileKiller2           	
219	ResearchedMissileMedium3           	
220	ResearchedCloak3                   	000000000002000000000000000000000000000000000000
221	ResearchedCapCloak2                	
222	ResearchedMissileCapAntiFighter3   	
223	ResearchedMissileSkeet1            	
233	ResearchedMirv1                    	
234	ResearchedMirv2                    	
229	ResearchedAntiCapGun1              	
228	ResearchedArtillery2               	
230	ResearchedAntiCapGun2              	
231	ResearchedSectorSupport            	
224	CopyElectronics                    	
225	CopyOrdnance                       	
226	CopyResearch                       	
227	CopyShipyard                       	
98	ResearchedSmShield1                	
199	ResearchedAlephBomb                	
235	ResearchedStinger2                 	
237	ResearchedPod2                     	
238	ResearchedCarrier                  	
239	AtCanBuildBuildings                	
240	AtCanBuildCapShips                 	
241	AtStarbase1                        	
243	HasElectronics1                    	
244	ResearchedHvStationPod2            	
246	ResearchedStationPod2              	
247	ResearchedPod3                     	
249	ResearchedSiliconMine              	
250	ResearchedUraniumMine              	
251	ResearchedHvPod1                   	
252	ResearchedHvPod2                   	
253	ResearchedTeleportProbe2           	
254	ResearchedMissileBomberAntiBase3   	000000000000000000000000000000000000000000000400
255	AtCanBuildSmBuildings              	
256	ResearchedLancer2                  	
257	ResearchedLancer3                  	
99	AtCanBuildShips                    	
