1	genericres01	Super Cheat             	SuperCheat                                                                                                                                                                                              	TestOnly                                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	56	120		icontech    	1	0	940
25000	ss103       	Upgrade Supremacy       	This upgrade toughens the Supremacy Center and gives players more research options, especially for Fighter-class ships.                                                                                 	HasOrdnance1 NotArena IsNotCivBios IsNotCivIronLeague IsNotCivBelters                                                                                                                                                                                           	ResearchedOrdnance2                                                                                                                                                                                                                                             	2	120		icontech    	2	0	945
7500	fig12       	Enhanced Fighter        	Typically deployed for prolonged combat situations that require quick response and good range, this fighter has 3 weapon mounts, hardpoints for missiles, and an average scan range.                    	HasOrdnance1 NotArena IsNotCivBelters                                                                                                                                                                                                                           	ResearchedFighter2                                                                                                                                                                                                                                              	20	120		icontech    	2	13	941
7500	fig05       	Advanced Scout          	This small and agile craft is packed with scanner suites. It can deploy minefields and probes, and has 1 weapon mount for machine guns or repair weapons.                                               	HasStarbase2 NotArena IsNotCivBelters                                                                                                                                                                                                                           	ResearchedSupport2                                                                                                                                                                                                                                              	15	120		icontech    	1	2	941
25000	acs08       	Upgrade Tactical Lab    	This upgrade toughens the Tactical Laboratory and gives teams more research options, especially for Stealth Fighter craft.                                                                              	HasElectronics1 NotArena IsNotCivBios IsNotCivIronLeague IsNotCivBelters                                                                                                                                                                                        	ResearchedElectronics2                                                                                                                                                                                                                                          	3	120		icontech    	3	0	945
30000	cap03       	Cruiser                 	Capable of carrying several turret gunners for defense, this capital ship can fire the largest and most deadly tactical nuke missiles, swiftly devastating enemy stations.                              	HasShipyard2 NotArena IsCivBios                                                                                                                                                                                                                                 	ResearchedCapital2                                                                                                                                                                                                                                              	45	120		icontech    	5	80	941
12000	cap100      	Destroyer               	This large, mainly defensive capitol ship can fire very long range missiles at Fighter class craft. It has no turrets but has Ripcord ability.                                                          	HasShipyard1 NotArena IsNotCivIronLeague IsNotCivBelters                                                                                                                                                                                                        	ResearchedArtillery1                                                                                                                                                                                                                                            	48	120		icontech    	5	82	941
5000	wep04       	PW EMP Cannon 2         	Develops an Interceptor-mounted particle weapon with explosive area effect                                                                                                                              	HasResearch2 ResearchedCannon1 NotArena                                                                                                                                                                                                                         	ResearchedCannon2                                                                                                                                                                                                                                               	78	120		icontech    	4	152	942
7500	utl27       	Troop Transport         	This transport carries specially trained troops capable of taking over enemy facilities. This version requires station shields to be neutralized before it can land and take over bases.                	HasResearch1 NotArena IsNotCivBelters                                                                                                                                                                                                                           	ResearchedAPC1                                                                                                                                                                                                                                                  	43	120		icontech    	4	71	941
2000	res05       	Ripcord 1               	Reduces teleportation time by 15%                                                                                                                                                                       	HasOrdnance1 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	155	120	119	icontech    	2	1031	940
2000	res14       	Station shield 1        	Improves station shield strength by 10%.                                                                                                                                                                	HasResearch1 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	169	120	106	icontech    	4	1045	940
2000	res16       	Station hull 1          	Improves station hull strength by 10%.                                                                                                                                                                  	HasResearch1 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	167	120	104	icontech    	4	1043	940
2000	res01       	Faster He3 1            	Improves miner collection rate by 10%.                                                                                                                                                                  	HasResearch1 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	145	120	117	icontech    	4	1021	940
10000	bom07b      	Bomber                  	This large, lumbering craft is designed for base assault. It is vulnerable to enemies and requires turret support to be effective.                                                                      	HasStarbase1 NotArena IsNotCivBelters IsNotCivRix                                                                                                                                                                                                               	ResearchedBomber1                                                                                                                                                                                                                                               	37	120		icontech    	1	51	941
10000	fig12       	Adv Fighter             	Typically deployed for prolonged combat situations that require quick response and good range, this advanced version can carry special weapons for base attacks.                                        	HasOrdnance2 ResearchedFighter2 NotArena IsNotCivBelters                                                                                                                                                                                                        	ResearchedFighter3                                                                                                                                                                                                                                              	18	120		icontech    	2	12	941
10000	utl27       	Hvy Troop Transport     	This transport carries specially trained troops capable of taking over enemy facilities. This heavy version will neutralize station shields on contact before landing and taking over bases.            	HasResearch2 ResearchedAPC1 NotArena IsNotCivBelters                                                                                                                                                                                                            	ResearchedAPC2                                                                                                                                                                                                                                                  	41	120		icontech    	4	70	941
10000	bom05b      	Gunship                 	This ship's key features are 2 heavy turret positions, with excellent cover for defending stationary and moving targets. It's fast enough to escort constructors, capital ships, and miners.            	HasStarbase2 NotArena IsNotCivBelters                                                                                                                                                                                                                           	ResearchedPlatform1                                                                                                                                                                                                                                             	39	120		icontech    	1	60	941
2000	res09       	EW range 1              	Improves range of energy-based weapons by 10%.                                                                                                                                                          	HasElectronics1 NotArena                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	141	120	115	icontech    	3	1017	940
5000	wep90       	EW SkyRipper            	Develops a Devestator mounted energy weapon dealing out incredible damage.                                                                                                                              	HasShipyard2 IsNotCivBelters IsNotCivCrimsonWing NotArena                                                                                                                                                                                                       	ResearchedAntiCapGun1                                                                                                                                                                                                                                           	86	120		icontech    	5	176	942
25000	ss18        	Upgrade Shipyard        	This upgrade toughens the Shipyard and gives teams more research options for capital ships.                                                                                                             	HasShipyard1 NotArena HasLevel2 IsNotCivBios IsNotCivIronLeague IsNotCivCrimsonWing IsNotCivBelters                                                                                                                                                             	ResearchedShipyard2                                                                                                                                                                                                                                             	4	120		icontech    	5	0	945
5000	mis11       	SRM Anti-Base 2         	Develops a more powerful version of the SRM Anti-Base 1.                                                                                                                                                	HasOrdnance1 NotArena IsNotCivRix                                                                                                                                                                                                                               	ResearchedMissileBomberAntiBase2                                                                                                                                                                                                                                	96	120		icontech    	2	235	943
5000	acs40       	Countermeasure 2        	Develops an anti-missile decoy system that is up to 50% effective against advanced missiles.                                                                                                            	HasOrd1Res1 NotArena                                                                                                                                                                                                                                            	ResearchedChaff2                                                                                                                                                                                                                                                	131	120		icontech    	1	902	944
5000	acs40       	Countermeasure 3        	Develops an anti-missile decoy system that is up to 75% effective against advanced missiles.                                                                                                            	HasOrd2Res2 ResearchedChaff2 NotArena                                                                                                                                                                                                                           	ResearchedChaff3                                                                                                                                                                                                                                                	130	120		icontech    	1	901	944
5000	wep19       	EW Galvonic Blaster     	Develops the Advanced Fighter-mounted energy weapon, optimized for combat against station hulls.                                                                                                        	HasOrdnance2 ResearchedDisruptor2 NotArena                                                                                                                                                                                                                      	ResearchedGalvonic                                                                                                                                                                                                                                              	72	120		icontech    	2	130	942
5000	wep09       	PW Gattling Gun 2       	Develops the Fighter/scout -mounted particle weapon, optimized for fighter-to-fighter combat.                                                                                                           	HasOrdnance1 NotArena                                                                                                                                                                                                                                           	ResearchedMachineGun2                                                                                                                                                                                                                                           	71	120		icontech    	2	122	942
5000	wep09       	PW Gattling Gun 3       	Develops the Fighter/scout -mounted particle weapon, optimized for fighter-to-fighter combat.                                                                                                           	HasOrdnance2 ResearchedMachineGun2 NotArena                                                                                                                                                                                                                     	ResearchedMachineGun3                                                                                                                                                                                                                                           	70	120		icontech    	2	121	942
5000	wep07       	EW Disruptor 2          	Develops the Fighter-mounted enhanced energy weapon, optimized for inflicting shield damage.                                                                                                            	HasOrdnance1 ResearchedDisruptor1 NotArena                                                                                                                                                                                                                      	ResearchedDisruptor2                                                                                                                                                                                                                                            	74	120		icontech    	2	132	942
5000	wep07       	EW Disruptor 3          	Develops the Fighter-mounted enhanced energy weapon, optimized for inflicting shield damage.                                                                                                            	HasOrdnance2 ResearchedDisruptor2 NotArena                                                                                                                                                                                                                      	ResearchedDisruptor3                                                                                                                                                                                                                                            	73	120		icontech    	2	131	942
5000	wep16       	PW Mini-Gun 2           	Develops the Interceptor-mounted rapid-fire particle weapon, optimized for fighter-to-fighter combat.                                                                                                   	HasResearch1 NotArena                                                                                                                                                                                                                                           	ResearchedMinigun2                                                                                                                                                                                                                                              	77	120		icontech    	4	142	942
5000	wep16       	PW Mini-Gun 3           	Develops the Interceptor-mounted rapid-fire particle weapon, optimized for fighter-to-fighter combat.                                                                                                   	HasResearch2 ResearchedMinigun2 NotArena                                                                                                                                                                                                                        	ResearchedMinigun3                                                                                                                                                                                                                                              	76	120		icontech    	4	141	942
5000	acs57       	EW Utl Cannon 2         	Develops the Stealth Fighter-mounted energy weapon, optimized for damage to utility craft such as miners and constructors.                                                                              	HasElectronics1 ResearchedAntiUtility1 NotArena                                                                                                                                                                                                                 	ResearchedAntiUtility2                                                                                                                                                                                                                                          	67	120		icontech    	3	102	942
5000	acs57       	EW Utl Cannon 3         	Develops the Stealth Fighter-mounted energy weapon, optimized for damage to utility craft such as miners and constructors.                                                                              	HasElectronics2 ResearchedAntiUtility2 NotArena                                                                                                                                                                                                                 	ResearchedAntiUtility3                                                                                                                                                                                                                                          	66	120		icontech    	3	101	942
5000	wep06       	EW Sniper Rifle 1       	Develops the Stealth Fighter-mounted energy weapon, optimized for low-signature, long-range attacks against ships.                                                                                      	HasElectronics1 NotArena                                                                                                                                                                                                                                        	ResearchedSniperWeapon1                                                                                                                                                                                                                                         	68	120		icontech    	3	111	942
5000	wep06       	EW Sniper Rifle 2       	Develops the Stealth Fighter-mounted energy weapon, optimized for low-signature, long-range attacks against ships.                                                                                      	HasElectronics2 ResearchedSniperWeapon1 NotArena                                                                                                                                                                                                                	ResearchedSniperWeapon2                                                                                                                                                                                                                                         	69	120		icontech    	3	110	942
5000	wep02       	PW Turret AC 2          	An enhanced particle-based turret weapon for use on Bombers and Stealth Bombers.                                                                                                                        	HasOrdnance1 NotArena                                                                                                                                                                                                                                           	ResearchedTurret2                                                                                                                                                                                                                                               	81	120		icontech    	2	162	942
5000	wep12       	PW SkyCap Turret 2      	An enhanced particle-based turret weapon for use on capital-class ships and gunships. Does area damage.                                                                                                 	HasShipyard1 ResearchedCapTurret1 NotArena                                                                                                                                                                                                                      	ResearchedCapTurret2                                                                                                                                                                                                                                            	83	120		icontech    	5	172	942
5000	wep12       	PW SkyCap Turret 3      	An enhanced particle-based turret weapon for use on capital-class ships and gunships. Does area damage.                                                                                                 	HasShipyard2 ResearchedCapTurret2 NotArena IsNotCivCrimsonWing                                                                                                                                                                                                  	ResearchedCapTurret3                                                                                                                                                                                                                                            	82	120		icontech    	5	171	942
5000	mis05       	SRM Dumbfire 2          	Develops a more powerful version of the SRM Dumbfire 1.                                                                                                                                                 	HasOrdnance1 NotArena IsNotCivRix                                                                                                                                                                                                                               	ResearchedMissileDumb2                                                                                                                                                                                                                                          	88	120		icontech    	2	202	943
5000	mis05       	SRM Dumbfire 3          	Develops a more powerful version of the SRM Dumbfire 2.                                                                                                                                                 	HasOrdnance2 ResearchedMissileDumb2 NotArena IsNotCivRix                                                                                                                                                                                                        	ResearchedMissileDumb3                                                                                                                                                                                                                                          	89	120		icontech    	2	201	943
5000	mis06       	MRM Seeker 2            	Develops a more accurate version of the MRM Seeker 1.                                                                                                                                                   	HasStarbase1 NotArena IsNotCivRix                                                                                                                                                                                                                               	ResearchedMissileTracking2                                                                                                                                                                                                                                      	90	120		icontech    	1	211	943
5000	mis06       	MRM Seeker 3            	Develops a more powerful version of the MRM Seeker 2.                                                                                                                                                   	HasStarbase2 ResearchedMissileTracking2 NotArena IsNotCivRix                                                                                                                                                                                                    	ResearchedMissileTracking3                                                                                                                                                                                                                                      	91	120		icontech    	1	210	943
5000	mis07       	LRM Hunter 2            	Develops a more accurate version of the LRM Hunter 1.                                                                                                                                                   	HasElectronics1 NotArena IsNotCivRix                                                                                                                                                                                                                            	ResearchedMissileMedium2                                                                                                                                                                                                                                        	93	120		icontech    	3	222	943
5000	mis13       	SRM Tactical Nuke 2     	Develops a more powerful version of the SRM Tactican Nuke 1.                                                                                                                                            	HasShipyard2 ResearchedMissileCapAntiBase1 NotArena IsNotCivRix IsNotCivCrimsonWing                                                                                                                                                                             	ResearchedMissileCapAntiBase2                                                                                                                                                                                                                                   	101	120		icontech    	5	311	943
5000	mis14       	MRM Seismic             	A medium-range asteroid-destroying missile that does incredible damage to rocks of all types.                                                                                                           	HasShipyard1 NotArena IsNotCivRix                                                                                                                                                                                                                               	ResearchedMissileCapAntiRock1                                                                                                                                                                                                                                   	105	120		icontech    	5	390	943
5000	mis08       	XRM Hunter Killer 2     	Develops the enhanced long-range anti-fighter missile with great tracking ability, optimized for killing fighter-class ships.                                                                           	HasShipyard1 NotArena IsNotCivRix                                                                                                                                                                                                                               	ResearchedMissileCapAntiFighter2                                                                                                                                                                                                                                	100	120		icontech    	5	302	943
5000	acs40       	Hvy Counter 2           	Develops an improved version of the Hvy Counter 1 that can be up to 85% effective.                                                                                                                      	HasShipyard1 ResearchedCapChaff1 NotArena                                                                                                                                                                                                                       	ResearchedCapChaff2                                                                                                                                                                                                                                             	133	120		icontech    	5	912	944
5000	acs40       	Hvy Counter 3           	Develops an improved version of the Hvy Counter 2 that can be up to 90% effective.                                                                                                                      	HasShipyard2 ResearchedCapChaff2 NotArena IsNotCivCrimsonWing                                                                                                                                                                                                   	ResearchedCapChaff3                                                                                                                                                                                                                                             	132	120		icontech    	5	911	944
5000	wep18       	EW Nanite Repair 2      	Develops an enhanced repair weapon for more rapid healing of all ships and stations.                                                                                                                    	HasStarbase2 NotArena                                                                                                                                                                                                                                           	ResearchedRepairWeapon2                                                                                                                                                                                                                                         	87	120		icontech    	1	181	944
2000	res03       	PW range 1              	Improves speed of ammo-based weapons by 10%                                                                                                                                                             	HasResearch1 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	153	120	114	icontech    	4	1029	940
2000	res07       	Ship energy 1           	Improves energy storage by 10%                                                                                                                                                                          	HasElectronics1 NotArena                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	139	120	113	icontech    	3	1015	940
2000	res28       	Ship sensors 1          	Improves sensor range by 10%                                                                                                                                                                            	HasOrdnance1 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	157	120	111	icontech    	2	1033	940
25000	ss104       	Upgrade Expansion       	This upgrade toughens the Expansion Complex and provides more research technologies, especially for Interceptors and Troop Transports.                                                                  	HasResearch1 NotArena IsNotCivBios IsNotCivIronLeague IsNotCivBelters                                                                                                                                                                                           	ResearchedResearch2                                                                                                                                                                                                                                             	5	120		icontech    	4	0	945
5000	utl101      	Enhanced Miner          	Develops a faster, more stealthy, and tougher miner.                                                                                                                                                    	HasStarbase1 NotArena IsNotCivBelters                                                                                                                                                                                                                           	ResearchedMiner2                                                                                                                                                                                                                                                	64	120		icontech    	1	97	940
7500	utl101      	Advanced Miner          	Develops a faster, more stealthy, and tougher miner.                                                                                                                                                    	HasResearch2 ResearchedMiner2 NotArena IsNotCivBelters                                                                                                                                                                                                          	ResearchedMiner3                                                                                                                                                                                                                                                	62	120		icontech    	4	96	940
5000	utl11       	Enh Constructor         	Develops a faster, more stealthy, and tougher constructor.                                                                                                                                              	HasStarbase1 NotArena IsNotCivBelters                                                                                                                                                                                                                           	ResearchedBuilder2                                                                                                                                                                                                                                              	58	120		icontech    	1	91	940
7500	utl11       	Adv Constructor         	Develops a faster, more stealthy, and tougher constructor.                                                                                                                                              	HasResearch2 ResearchedBuilder2 NotArena IsNotCivBelters                                                                                                                                                                                                        	ResearchedBuilder3                                                                                                                                                                                                                                              	59	120		icontech    	4	91	940
5000	acs38       	Signature Cloak 2       	Develops an improved version of the Signature Cloak 1.                                                                                                                                                  	HasElectronics1 ResearchedCloak1 NotArena                                                                                                                                                                                                                       	ResearchedCloak2                                                                                                                                                                                                                                                	118	120		icontech    	3	602	944
5000	acs38       	Heavy Sig cloak 1       	A signature supression system that almost completely blinds enemy radar but rapidly drains energy while active.                                                                                         	HasStarbase1 ResearchedCloak1 NotArena                                                                                                                                                                                                                          	ResearchedCapCloak1                                                                                                                                                                                                                                             	121	120		icontech    	1	612	944
2500	acs38       	Signature Cloak 1       	Develops a signature supression system that will make a ship almost invisible.                                                                                                                          	HasStarbase1 NotArena                                                                                                                                                                                                                                           	ResearchedCloak1                                                                                                                                                                                                                                                	119	120		icontech    	1	603	944
7500	fig17       	Stealth Bomber          	This cloakable Bomber with the tenacity of the Stealth Fighter has outstanding anti-base missile capability.                                                                                            	HasElectronics2 ResearchedBomber1 ResearchedStealth1 NotArena IsNotCivBelters                                                                                                                                                                                   	ResearchedStealthBomber1                                                                                                                                                                                                                                        	33	120		icontech    	3	40	941
5000	wep04       	PW EMP Cannon 1         	Develops an Interceptor-mounted particle weapon with explosive area effect                                                                                                                              	HasResearch1 NotArena                                                                                                                                                                                                                                           	ResearchedCannon1                                                                                                                                                                                                                                               	79	120		icontech    	4	153	942
5000	acs48       	Booster 2               	Develops an improved version of the booster 1, which is more efficient.                                                                                                                                 	HasOrdnance1 ResearchedBooster1 NotArena                                                                                                                                                                                                                        	ResearchedBooster2                                                                                                                                                                                                                                              	113	120		icontech    	2	502	944
5000	acs48       	Light Booster 2         	Develops improved version of the Light Booster 1 which has better thrust and efficiency.                                                                                                                	HasResearch2 ResearchedDietBooster1 NotArena                                                                                                                                                                                                                    	ResearchedDietBooster2                                                                                                                                                                                                                                          	115	120		icontech    	4	511	944
5000	acs48       	Light Booster 1         	Develops a booster with limited thrust but significantly better fuel efficiency.                                                                                                                        	HasResearch1 ResearchedBooster1 NotArena                                                                                                                                                                                                                        	ResearchedDietBooster1                                                                                                                                                                                                                                          	116	120		icontech    	4	512	944
5000	acs48       	Booster 3               	Develops an improved version of the booster 2, which is somewhat more powerful.                                                                                                                         	HasOrdnance2 ResearchedBooster2 NotArena                                                                                                                                                                                                                        	ResearchedBooster3                                                                                                                                                                                                                                              	112	120		icontech    	2	501	944
5000	mis12       	XRM Cruise 1            	Develops an enhanced very long-range anti-base missile with a better warhead.                                                                                                                           	HasShipyard1 NotArena IsNotCivRix                                                                                                                                                                                                                               	ResearchedMissileSkeet1                                                                                                                                                                                                                                         	104	120		icontech    	5	322	943
5000	mis12       	XRM Cruise 2            	Develops an enhanced very long-range anti-base missile with a better warhead.                                                                                                                           	HasShipyard2 ResearchedMissileSkeet1 NotArena IsNotCivRix IsNotCivCrimsonWing                                                                                                                                                                                   	ResearchedMissileSkeet2                                                                                                                                                                                                                                         	103	120		icontech    	5	321	943
2000	res01       	He3 yield 1             	Increases He3 yield by 10%                                                                                                                                                                              	HasResearch1 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	147	120	118	icontech    	4	1023	940
2000	res14       	Ship shield 1           	Improves shield strength by 10%                                                                                                                                                                         	HasElectronics1 NotArena                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	161	120	109	icontech    	3	1037	940
2000	res24       	Missile track 1         	Improves missile agility by 10%                                                                                                                                                                         	HasOrdnance1 NotArena IsNotCivRix                                                                                                                                                                                                                               	                                                                                                                                                                                                                                                                	151	120	116	icontech    	2	1027	940
2000	res03       	PW damage 1             	Improves weapon damage by 10%                                                                                                                                                                           	HasResearch1 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	143	120	120	icontech    	4	1019	940
2000	res18       	Ship speed 1            	Improve top speeds by 10%                                                                                                                                                                               	HasShipyard1 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	165	120	100	icontech    	5	1041	940
2000	res20       	Ship agility 1          	Improve agility by 10%                                                                                                                                                                                  	HasOrdnance1 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	137	120	102	icontech    	2	1013	940
2000	res16       	Ship hull 1             	Improve hull strength by 10%                                                                                                                                                                            	HasOrdnance1 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	159	120	108	icontech    	2	1035	940
2000	res22       	Missile damage 1        	Improves missile damage by 10%                                                                                                                                                                          	HasOrdnance1 NotArena IsNotCivRix                                                                                                                                                                                                                               	                                                                                                                                                                                                                                                                	149	120	121	icontech    	2	1025	940
2000	res18       	Ship acceleration 1     	Improves acceleration by 10%                                                                                                                                                                            	HasResearch1 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	135	120	101	icontech    	4	1010	940
2000	res26       	Ship signature 1        	Reduces signatures by 10%                                                                                                                                                                               	HasResearch1 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	163	120	112	icontech    	4	1039	940
2500	res19       	Ship speed 2            	Improve top speeds by 10%                                                                                                                                                                               	HasShipyard2 NotArena IsNotCivCrimsonWing                                                                                                                                                                                                                       	                                                                                                                                                                                                                                                                	166	120	100	icontech    	5	1042	940
2500	res19       	Ship acceleration 2     	Improves acceleration by 10%                                                                                                                                                                            	HasResearch2 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	136	120	101	icontech    	4	1011	940
2500	res21       	Ship agility 2          	Improve agility by 10%                                                                                                                                                                                  	HasOrdnance2 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	138	120	102	icontech    	2	1014	940
2500	res17       	Station hull 2          	Improves station hull strength by 10%.                                                                                                                                                                  	HasResearch2 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	168	120	104	icontech    	4	1044	940
2500	res13       	Station shield 2        	Improves station shield strength by 10%.                                                                                                                                                                	HasResearch2 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	170	120	106	icontech    	4	1046	940
2500	res16       	Ship hull 2             	Improve hull strength by 10%                                                                                                                                                                            	HasOrdnance2 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	160	120	108	icontech    	2	1036	940
2500	res13       	Ship shield 2           	Improves shield strength by 10%                                                                                                                                                                         	HasElectronics2 NotArena                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	162	120	109	icontech    	3	1038	940
2500	res29       	Ship sensors 2          	Improves sensor range by 10%                                                                                                                                                                            	HasOrdnance2 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	158	120	111	icontech    	2	1034	940
2500	res27       	Ship signature 2        	Reduces signatures by 10%                                                                                                                                                                               	HasResearch2 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	164	120	112	icontech    	4	1040	940
2500	res08       	Ship energy 2           	Improves energy storage by 10%                                                                                                                                                                          	HasElectronics2 NotArena                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	140	120	113	icontech    	3	1016	940
2500	res03       	PW range 2              	Improves speed of ammo-based weapons by 10%                                                                                                                                                             	HasResearch2 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	154	120	114	icontech    	4	1030	940
2500	res10       	EW range 2              	Improves range of energy-based weapons by 10%.                                                                                                                                                          	HasElectronics2 NotArena                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	142	120	115	icontech    	3	1018	940
2500	res25       	Missile track 2         	Improves missile agility by 10%                                                                                                                                                                         	HasOrdnance2 NotArena IsNotCivRix                                                                                                                                                                                                                               	                                                                                                                                                                                                                                                                	152	120	116	icontech    	2	1028	940
2500	res02       	Faster He3 2            	Improves miner collection rate by 10%.                                                                                                                                                                  	HasResearch2 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	146	120	117	icontech    	4	1022	940
2500	res02       	He3 yield 2             	Increases He3 yield by 10%                                                                                                                                                                              	HasResearch2 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	148	120	118	icontech    	4	1024	940
2500	res05       	Ripcord 2               	Reduces teleportation time by 15%                                                                                                                                                                       	HasOrdnance2 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	156	120	119	icontech    	2	1032	940
2500	res03       	PW damage 2             	Improves weapon damage by 10%                                                                                                                                                                           	HasResearch2 NotArena                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	144	120	120	icontech    	4	1020	940
2500	res23       	Missile damage 2        	Improves missile damage by 10%                                                                                                                                                                          	HasOrdnance2 NotArena IsNotCivRix                                                                                                                                                                                                                               	                                                                                                                                                                                                                                                                	150	120	121	icontech    	2	1026	940
5000	utl74       	Teleport probe 1        	Develops a short lived deployable probe that acts as a teleportation reciever.                                                                                                                          	HasStarbase2 NotArena                                                                                                                                                                                                                                           	ResearchedTeleportProbe1                                                                                                                                                                                                                                        	125	120		icontech    	1	720	944
5000	mis01       	SRM EMP Missile         	Develops a specialized missile that does a huge amount of damage to a target's shields (but no damage to its hull).                                                                                     	HasResearch1 NotArena IsNotCivRix                                                                                                                                                                                                                               	ResearchedMissileEMP                                                                                                                                                                                                                                            	98	120		icontech    	4	241	943
